name,ring,quadrant,isNew,description
Kafka,Adopt,Systems and Data Stores,FALSE,"A streaming platform"
Git,Adopt,Tools,FALSE,"A version control system"
Kubernetes,Adopt,Systems and Data Stores,FALSE,"Container orchestration"
Java,Adopt,Languages and Frameworks,FALSE,"A programming language"
Kafka Streams,Adopt,Languages and Frameworks,FALSE,"A library for building applications that read from and write to Kafka topics"
Streaming at the Edge,Trial,Concepts,TRUE,???
Redis,Trial,Systems and Data Stores,TRUE,"An in-memory data structure store with, among others, streaming capabilities"
Snowflake,Trial,Systems and Data Stores,TRUE,"A cloud-based data warehouse, offering data warehouse as a service"
Conduktor,Adopt,Tools,FALSE,"GUI application that simplifies consuming from Kafka clusters"
Lens,Adopt,Tools,FALSE,"An IDE for K8s"
K9s,Adopt,Tools,FALSE,"A terminal-based UI to interact with your Kubernetes clusters"
Spring,Adopt,Languages and Frameworks,FALSE,"An application framework and inversion of control container for the Java platform"
Scala,Adopt,Languages and Frameworks,TRUE,"A strong statically typed general-purpose programming language which supports both object-oriented programming and functional programming."
DynamoDB,Adopt,Systems and Data Stores,TRUE,"A NoSQL DB offering by AWS"
Azure Data Explorer,Adopt,Systems and Data Stores,TRUE,"Fully-managed big data analytics cloud platform and data-exploration service"
Apache Pinot/Startree,Trial,Systems and Data Stores,TRUE,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency"
Trino,Trial,Systems and Data Stores,TRUE,"Fast distributed SQL query engine for big data analytics"
Helm,Adopt,Languages and Frameworks,FALSE,"Kubernetes deployment tool for automating creation, packaging, configuration, and deployment of applications and services to Kubernetes clusters"
Grafana,Adopt,Systems and Data Stores,FALSE,"Grafana is a multi-platform open source analytics and interactive visualization web application."
Prometheus,Adopt,Systems and Data Stores,FALSE,"An open-source monitoring system with a dimensional data model, flexible query language, efficient time series database and modern alerting approach."
Presto,Adopt,Systems and Data Stores,FALSE,"Presto is an open source distributed SQL query engine for running interactive analytic queries against data sources of all sizes ranging from gigabytes to petabytes"
Data Mesh,Trial,Concepts,TRUE,"An approach to creating a decentralized Data Architecture."
Python,Adopt,Languages and Frameworks,FALSE,"A programming language"
Delta Live Tables,Trial,Languages and Frameworks,TRUE,"ETL framework that uses a simple declarative approach for creating reliable data pipelines and fully manages the underlying infrastructure at scale for batch and streaming data."
Velox,Assess,Languages and Frameworks,"Velox is an open source unified execution engine built by Meta and aimed at accelerating data management systems and streamlining their development"
Streamlit,Assess,Languages and Frameworks,"Streamlit turns data scripts into shareable web apps in minutes. All in pure Python. No front‑end experience required."
Cube.dev,Trial,Languages and Frameworks,"Cube is an API‑first business intelligence platform for data engineers and application developers to make data accessible and consistent across every application."
Materialize,Trial,Systems and Data Stores,"Materialize is a fast, distributed SQL database built on streaming internals."
Redpanda,Assess,Systems and Data Stores,"Redpanda is a Kafka®-compatible streaming data platform that is up to 10x faster and 6x more hardware-efficient. It is also JVM-free, ZooKeeper®-free, Jepsen-tested and source available."
Rudderstack,Assess,Systems and Data Stores,"Real-time event streaming for customer data. Quickly deploy flexible, powerful customer data pipelines, then send the data to your entire stack—without the engineering headache."
Apache Superset/Preset,Trial,Systems and Data Stores,"Apache Superset is an open-source software cloud-native application for data exploration and data visualization able to handle data at petabyte scale."
Fivetran,Assess,Systems and Data Stores,"Fivetran fully automated connectors sync data from cloud applications, databases, event logs and more into your data warehouse"
Airbyte,Assess,Systems and Data Stores,"Airbyte is an open-source data integration engine that helps you consolidate your data in your warehouses"
StreamSets,Assess,Systems and Data Stores,"StreamSets offers a platform dedicated to building smart data pipelines to power DataOps across hybrid and multi-cloud architectures."
Meltano,Assess,Systems and Data Stores,"Provider of open-source extract, load and transform pipelines for DataOps. It is a directory with text-based files and features such as tracking of incremental replication rate, data loading into data warehouses, UI for management and monitoring, as well as data extraction from multiple data sources."
Plotly,Assess,Systems and Data Stores,"Plotly is a data science and AI company focused on taking data science out of the lab and into the business. Plotly makes it easy to create, deploy, and share interactive web apps, graphs, and visualizations in any programming language"
Apache Spark,Adopt,Languages and Frameworks,FALSE,"Apache Spark is an open-source unified analytics engine for large-scale data processing."
Apache Airflow,Assess,Systems and Data Stores,"Apache Airflow is an open-source workflow management platform for data engineering pipelines."
